date,tmin,tmax,tavg,prec,etp,watertable
2001-01-01,-5.5,5.3,,0,,1.669
2001-01-02,0.9,4.1,,3.3,,1.666
2001-01-03,-1.3,5.7,,4.9,,1.649
2001-01-04,-2.2,2.5,,7.7,,1.627
2001-01-05,-0.5,3.1,,0,,1.594
2001-01-06,2.1,3.6,,0,,1.59
2001-01-07,3.5,6,,7.4,,1.585
2001-01-08,2.9,8.4,,0.8,,1.554
2001-01-09,1.4,12.6,,0,,1.548
2001-01-10,2.4,7.5,,0,,1.546
2001-01-11,5.4,6.4,,0,,1.542
2001-01-12,5.5,7.6,,0.6,,1.538
2001-01-13,-0.5,6.4,,5.9,,1.532
2001-01-14,-3.4,3.2,,0,,1.507
2001-01-15,-4.5,2.5,,0,,1.504
2001-01-16,-1.1,1.3,,0,,1.501
2001-01-17,-1.5,0.3,,0,,1.497
2001-01-18,-1.6,2.3,,2,,1.493
2001-01-19,-0.4,3.2,,0,,1.482
2001-01-20,2.2,5.1,,0,,1.478
2001-01-21,-1.4,8.8,,0,,1.475
2001-01-22,-1.6,5.8,,0,,1.473
2001-01-23,3.2,4.5,,0,,1.47
2001-01-24,3.7,5.3,,0,,1.466
2001-01-25,1,5.9,,5.3,,1.463
2001-01-26,3.4,5.6,,0,,1.44
2001-01-27,2,5.9,,0,,1.437
2001-01-28,4,6.3,,0,,1.434
2001-01-29,4.5,7,,6.2,,1.431
2001-01-30,4.4,6.1,,14.8,,1.406
2001-01-31,0.6,9,,0,,1.348
2001-02-01,-1.5,8.3,,0,,1.347
2001-02-02,-4.8,6.9,,0,,1.346
2001-02-03,-4.7,5.3,,0,,1.346
2001-02-04,-4.5,7.6,,0,,1.344
2001-02-05,-0.5,8.2,,0,,1.344
2001-02-06,-1.4,7.5,,0,,1.343
2001-02-07,1.8,10.2,,0,,1.343
2001-02-08,5.1,13,,0,,1.343
2001-02-09,3.9,9.3,,2.1,,1.343
2001-02-10,3.7,12.3,,4.6,,1.335
2001-02-11,1,13.7,,0,,1.319
2001-02-12,-1.2,13.6,,0,,1.32
2001-02-13,0,14.3,,0,,1.322
2001-02-14,0.2,13.1,,0,,1.324
2001-02-15,-1.9,12.9,,0,,1.326
2001-02-16,-2.9,14.7,,0,,1.328
2001-02-17,-2.7,12.9,,0,,1.331
2001-02-18,-1.5,13.1,,0,,1.333
2001-02-19,-1.1,13.6,,0,,1.336
2001-02-20,-1.3,11.5,,0,,1.338
2001-02-21,-1.8,11.3,,0,,1.34
2001-02-22,-1.3,15.3,,0,,1.343
2001-02-23,-0.1,15.9,,0,,1.346
2001-02-24,2.8,5.3,,10.1,,1.35
2001-02-25,0.3,5,,0,,1.313
2001-02-26,-0.8,7,,0,,1.313
2001-02-27,-6.4,8.7,,0,,1.314
2001-02-28,-0.8,2.4,,5.8,,1.316
2001-03-01,-0.3,7,,0,,1.294
2001-03-02,-2.7,5.2,,11.1,,1.296
2001-03-03,1.3,5.2,,1.5,,1.256
2001-03-04,3.3,8.2,,0,,1.251
2001-03-05,6.6,15.1,,0,,1.253
2001-03-06,8,10.4,,0,,1.256
2001-03-07,6.3,10,,0,,1.257
2001-03-08,6.9,8.3,,4.5,,1.259
2001-03-09,4.4,11.9,,0.4,,1.242
2001-03-10,1.5,10.9,,1.6,,1.245
2001-03-11,6.4,12.1,,0,,1.243
2001-03-12,6.3,14,,0,,1.246
2001-03-13,7.4,16.4,,29,,1.251
2001-03-14,1.6,18.4,,0,,1.15
2001-03-15,2.2,18.8,,0,,1.158
2001-03-16,5.4,16.8,,0,,1.167
2001-03-17,8.3,15,,6.6,,1.173
2001-03-18,6,15.7,,0,,1.154
2001-03-19,6.9,19.6,,0,,1.161
2001-03-20,7.7,18.3,,0,,1.17
2001-03-21,7.8,16.3,,0,,1.177
2001-03-22,8.2,21.6,,0,,1.184
2001-03-23,7.5,21.8,,0,,1.194
2001-03-24,6.5,20.3,,0,,1.204
2001-03-25,9.3,22.1,,0,,1.214
2001-03-26,9.7,20.4,,0,,1.224
2001-03-27,7.4,18.1,,0,,1.233
2001-03-28,8.4,12.9,,1,,1.241
2001-03-29,8.9,13.2,,5.1,,1.242
2001-03-30,8.1,10.2,,20.7,,1.228
2001-03-31,7.5,17.5,,2,,1.155
2001-04-01,3.8,17.5,,0,,1.156
2001-04-02,2.3,18.4,,0,,1.165
2001-04-03,2.4,20.2,,0,,1.176
2001-04-04,7.5,19,,0,,1.188
2001-04-05,7.1,14.5,,11.9,,1.198
2001-04-06,3.3,17.8,,0,,1.162
2001-04-07,6.3,11.6,,6.7,,1.172
2001-04-08,6.3,14.7,,0,,1.154
2001-04-09,2.6,19.6,,0,,1.162
2001-04-10,3.5,18.6,,2.8,,1.175
2001-04-11,8.6,10.1,,27.1,,1.176
2001-04-12,8.2,15.5,,0,,1.08
2001-04-13,6.6,16.6,,0,,1.089
2001-04-14,1,9.9,,5.4,,1.1
2001-04-15,0,15.4,,0,,1.088
2001-04-16,4.5,13.8,,5.1,,1.1
2001-04-17,6.7,16.1,,0,,1.091
2001-04-18,2.5,16.8,,0,,1.101
2001-04-19,3.6,16.9,,0,,1.114
2001-04-20,6.1,16.2,,0,,1.126
2001-04-21,2.7,8.8,,2,,1.138
2001-04-22,4.5,14.6,,0,,1.138
2001-04-23,0.9,14.6,,0,,1.148
2001-04-24,2.4,21.4,,0,,1.16
2001-04-25,7.9,21.7,,0,,1.176
2001-04-26,11,22.1,,0,,1.191
2001-04-27,10.9,19.6,,0,,1.205
2001-04-28,7.5,23.2,,0,,1.217
2001-04-29,7.3,23.7,,0,,1.234
2001-04-30,10.4,23.3,,0,,1.251
2001-05-01,10.7,25.5,,0,,1.266
2001-05-02,13.7,25.1,,0,,1.284
2001-05-03,14,23.6,,0,,1.3
2001-05-04,12.1,20.2,,0.4,,1.315
2001-05-05,12.9,18.1,,1.2,,1.326
2001-05-06,13,20.5,,1.6,,1.332
2001-05-07,12.9,21.5,,10.9,,1.339
2001-05-08,12.7,25,,0.4,,1.313
2001-05-09,12.4,24.2,,0,,1.329
2001-05-10,11,23.6,,0,,1.346
2001-05-11,11,24.5,,0,,1.363
2001-05-12,12.2,26.8,,0,,1.381
2001-05-13,13.6,23.5,,0,,1.401
2001-05-14,10.3,25.2,,0,,1.417
2001-05-15,12,22.3,,0,,1.435
2001-05-16,11.2,24.9,,0,,1.45
2001-05-17,11.4,25.6,,0,,1.468
2001-05-18,15,26.2,,0,,1.486
2001-05-19,10.6,23.5,,0,,1.504
2001-05-20,7.8,21.8,,0,,1.521
2001-05-21,11.7,13.9,,30.5,,1.537
2001-05-22,13.7,20.2,,0,,1.432
2001-05-23,14.8,24.5,,0,,1.445
2001-05-24,14,25.6,,0,,1.461
2001-05-25,13,27.1,,0,,1.479
2001-05-26,13.3,27.8,,0,,1.499
2001-05-27,13.3,30.7,,0,,1.52
2001-05-28,13.8,32.5,,0,,1.543
2001-05-29,15.2,32.5,,0,,1.568
2001-05-30,14.5,32.9,,0,,1.593
2001-05-31,15.9,31,,0,,1.618
2001-06-01,16.3,26.6,,0,,1.641
2001-06-02,12.4,21.9,,6.4,,1.659
2001-06-03,9.7,20.1,,4.7,,1.651
2001-06-04,7,23.9,,0,,1.649
2001-06-05,7.8,25.4,,0,,1.668
2001-06-06,10.7,22.4,,3,,1.689
2001-06-07,11.5,26.1,,0,,1.695
2001-06-08,10.9,28,,0,,1.715
2001-06-09,12.9,27.5,,0,,1.737
2001-06-10,14.5,28.6,,0,,1.758
